date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT_7DAY_AVG,BX_DEATH_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT_7DAY_AVG,MN_DEATH_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT_7DAY_AVG,QN_DEATH_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_CASE_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT_7DAY_AVG,SI_DEATH_COUNT_7DAY_AVG,INCOMPLETE
2021-05-08,384,62,24,721,78,28,61,11,1,122,13,4,122,24,12,242,27,10,41,11,4,87,11,4,122,16,5,206,22,7,38,2,2,64,6,3,0
2021-05-09,343,62,26,689,76,27,53,9,5,119,13,4,106,18,9,226,26,9,48,9,3,87,11,4,110,25,8,198,24,7,26,1,1,59,4,3,0
2021-05-10,654,70,28,649,74,28,130,18,6,116,13,4,207,17,9,210,24,10,89,9,3,82,11,4,178,24,9,185,23,8,50,2,1,56,4,2,0
2021-05-11,628,69,21,613,70,27,90,15,2,107,13,4,216,17,6,198,21,9,70,8,7,77,10,4,188,24,4,178,23,8,64,5,2,53,4,2,0
2021-05-12,594,62,18,586,68,26,109,9,1,102,12,3,196,24,8,191,21,9,68,11,2,71,11,4,155,14,5,168,21,7,66,5,2,54,4,2,0
2021-05-13,516,66,25,548,66,26,93,12,5,96,12,4,147,22,7,174,21,9,75,8,4,67,9,4,151,22,8,157,20,8,49,4,1,53,3,2,0
2021-05-14,486,69,28,515,66,24,77,17,5,88,13,4,145,14,9,163,19,9,58,10,3,64,9,4,160,24,10,152,21,7,46,5,1,48,3,1,0
2021-05-15,292,39,9,502,62,22,46,7,2,85,12,4,94,18,2,159,19,7,33,2,1,63,8,3,99,8,4,149,20,7,20,4,0,46,4,1,0
2021-05-16,280,41,16,493,59,21,48,3,1,85,12,3,99,19,7,158,19,7,31,4,2,61,7,3,84,14,5,145,19,6,18,1,1,45,4,1,0
2021-05-17,453,72,16,464,60,19,79,11,4,77,11,3,151,21,7,150,19,7,72,10,0,58,8,3,114,25,5,136,19,6,37,5,0,43,4,1,0
2021-05-18,415,52,14,434,57,18,71,10,2,75,10,3,138,15,5,139,19,6,60,7,3,57,7,2,102,19,4,124,18,6,44,2,0,40,4,1,0
2021-05-19,377,58,14,403,57,17,74,14,4,70,11,3,129,20,7,129,18,6,41,8,1,53,7,2,106,13,1,117,18,5,27,3,1,34,3,1,0
2021-05-20,395,64,14,385,56,16,67,12,2,66,11,3,133,29,6,127,19,6,51,7,3,49,7,2,111,13,0,111,17,4,33,3,3,32,3,1,0
2021-05-21,349,52,14,366,54,14,54,11,2,63,10,2,115,11,5,123,19,6,48,9,2,48,7,2,105,15,3,103,15,3,27,6,2,29,3,1,0
2021-05-22,233,35,17,357,53,15,35,6,0,61,10,2,81,11,5,121,18,6,28,5,2,47,7,2,68,13,8,99,16,4,21,2,2,30,3,1,0
2021-05-23,187,45,12,344,54,14,29,4,2,58,10,2,63,18,4,116,18,6,17,6,0,45,7,2,55,13,4,94,16,4,23,4,2,30,4,1,0
2021-05-24,355,35,10,330,49,14,57,8,0,55,9,2,105,8,6,109,16,5,51,4,1,42,7,2,95,14,3,92,14,3,47,1,0,32,3,1,0
2021-05-25,305,40,6,314,47,12,48,3,2,52,8,2,101,17,1,104,16,5,37,5,0,39,6,1,82,16,3,89,14,3,37,0,0,31,3,1,0
2021-05-26,249,33,6,296,43,11,44,4,1,48,7,1,81,12,1,97,15,4,40,3,2,39,6,1,74,10,1,84,13,3,10,4,1,28,3,1,0
2021-05-27,257,45,9,276,41,11,56,11,1,46,7,1,62,11,3,87,13,4,39,10,2,37,6,1,67,12,1,78,13,3,33,3,2,28,3,1,0
2021-05-28,210,35,12,257,38,10,36,7,1,44,6,1,67,16,3,80,13,3,23,5,2,34,5,1,66,6,3,72,12,3,18,1,3,27,2,1,0
2021-05-29,126,25,10,241,37,9,22,6,2,42,6,1,32,4,3,73,12,3,23,4,0,33,5,1,40,11,5,68,12,3,9,0,0,25,2,1,0
2021-05-30,119,25,8,232,34,9,25,4,2,41,6,1,34,12,5,69,11,3,16,5,0,33,5,1,30,3,1,65,10,2,14,1,0,24,1,1,0
2021-05-31,118,19,12,198,32,9,15,8,3,35,6,2,35,2,2,59,11,3,20,3,3,28,5,1,38,6,4,57,9,3,10,1,0,19,1,1,0
2021-06-01,288,33,13,195,31,10,71,5,1,38,6,2,59,14,8,53,10,4,52,4,2,30,5,2,76,10,2,56,8,2,30,2,0,18,2,1,0
2021-06-02,244,44,11,195,32,11,52,6,1,40,7,2,70,15,4,51,11,4,33,4,1,29,5,1,68,14,5,55,9,3,21,5,0,19,2,1,0
2021-06-03,206,30,12,187,30,11,45,0,1,38,5,2,62,15,4,51,11,4,24,3,2,27,4,1,61,10,3,54,9,3,14,2,2,17,2,1,0
2021-06-04,224,23,7,189,28,10,57,6,1,41,5,2,65,8,2,51,10,4,34,4,1,29,4,1,43,3,3,51,8,3,25,2,0,18,2,0,0
2021-06-05,142,17,6,192,27,10,41,3,0,44,5,1,44,4,3,53,10,4,16,3,0,28,4,1,29,4,2,49,7,3,12,3,1,18,2,0,0
2021-06-06,130,25,5,193,27,9,24,8,1,44,5,1,35,9,2,53,10,4,23,2,1,29,3,1,33,4,1,50,7,3,15,2,0,18,2,0,0
2021-06-07,219,31,7,208,29,9,57,8,2,50,5,1,64,11,0,57,11,3,32,1,1,31,3,1,47,8,4,51,8,3,19,3,0,19,3,0,0
2021-06-08,176,38,10,192,30,8,38,11,0,45,6,1,55,6,3,56,10,3,27,7,1,27,3,1,39,12,4,46,8,3,17,2,2,18,3,1,0
2021-06-09,211,24,9,187,27,8,56,9,1,45,6,1,58,9,5,55,9,3,40,1,0,28,3,1,40,4,3,42,6,3,17,1,0,17,2,1,0
2021-06-10,155,25,6,180,26,7,33,6,1,44,7,1,46,8,1,52,8,2,30,3,1,29,3,1,34,6,3,38,6,3,12,2,0,17,2,0,0
2021-06-11,188,25,6,174,26,7,40,6,1,41,7,1,43,6,1,49,8,2,38,5,1,29,3,1,52,6,3,39,6,3,15,2,0,15,2,0,0
2021-06-12,121,22,5,171,27,7,25,6,2,39,8,1,28,5,1,47,8,2,14,3,1,29,3,1,39,6,1,41,7,3,15,2,0,16,2,0,0
2021-06-13,113,30,6,169,28,7,18,4,2,38,7,1,35,12,1,47,8,2,18,2,2,28,3,1,30,10,1,40,7,3,12,3,0,15,2,0,0
2021-06-14,181,25,7,164,27,7,38,6,1,35,7,1,53,12,4,45,8,2,29,2,0,28,3,1,49,5,1,40,7,2,12,1,1,14,2,0,0
2021-06-15,179,25,6,164,25,6,30,8,0,34,6,1,38,8,3,43,9,2,35,1,1,29,2,1,57,4,1,43,6,2,19,4,1,15,2,0,0
2021-06-16,174,23,6,159,25,6,29,6,1,30,6,1,47,5,2,41,8,2,31,5,3,28,3,1,41,7,0,43,6,1,26,2,0,16,2,0,0
2021-06-17,187,30,9,163,26,6,36,10,3,31,7,1,52,9,3,42,8,2,25,2,2,27,3,1,51,8,1,46,7,1,23,1,0,17,2,0,0
2021-06-18,158,18,8,159,25,7,19,2,1,28,6,1,58,7,3,44,8,2,14,3,1,24,3,1,47,5,1,45,6,1,20,1,2,18,2,1,0
2021-06-19,107,13,11,157,23,8,18,4,0,27,6,1,29,2,3,45,8,3,22,1,1,25,2,1,24,3,5,43,6,1,14,3,2,18,2,1,0
2021-06-20,96,25,5,155,23,7,14,4,0,26,6,1,33,10,4,44,8,3,14,2,0,24,2,1,26,8,1,42,6,1,9,2,0,18,2,1,0
2021-06-21,169,29,3,153,23,7,27,7,1,25,6,1,41,9,0,43,7,3,25,4,0,24,3,1,50,5,2,42,6,2,26,5,0,20,3,1,0
2021-06-22,170,33,7,152,24,7,21,3,1,23,5,1,50,7,2,44,7,2,33,2,1,23,3,1,49,14,3,41,7,2,17,7,0,19,3,1,0
2021-06-23,186,23,5,153,24,7,28,3,1,23,5,1,47,10,1,44,8,2,38,3,0,24,2,1,48,6,3,42,7,2,24,1,0,19,3,1,0
2021-06-24,175,14,5,152,22,6,18,1,1,21,3,1,51,8,3,44,8,2,30,1,0,25,2,0,47,2,1,42,6,2,29,2,0,20,3,1,0
2021-06-25,180,18,6,155,22,6,12,4,2,20,4,1,61,8,2,45,8,2,28,2,1,27,2,0,55,4,0,43,6,2,24,0,1,20,3,0,0
2021-06-26,118,18,3,156,23,5,11,4,0,19,4,1,37,7,2,46,8,2,15,2,1,26,2,0,31,2,0,44,6,1,24,3,0,22,3,0,0
2021-06-27,110,23,1,158,23,4,17,3,0,19,4,1,29,7,0,45,8,1,19,3,0,27,2,0,23,10,1,43,6,1,22,0,0,24,3,0,0
2021-06-28,206,25,6,164,22,5,29,3,0,19,3,1,49,7,1,46,8,2,45,5,1,30,3,1,53,8,2,44,7,1,30,3,2,24,2,0,0
2021-06-29,213,23,4,170,21,4,32,1,1,21,3,1,52,8,2,47,8,2,43,6,0,31,3,0,51,8,1,44,6,1,35,0,0,27,1,0,0
2021-06-30,225,21,4,175,20,4,30,3,0,21,3,1,74,7,2,50,7,2,43,4,1,32,3,1,51,6,1,44,6,1,27,1,0,27,1,0,0
2021-07-01,205,31,4,180,23,4,27,3,0,23,3,0,63,10,2,52,8,2,29,3,0,32,4,1,53,7,2,45,6,1,33,8,0,28,2,0,0
2021-07-02,232,36,7,187,25,4,32,7,2,25,3,0,60,13,0,52,8,1,61,5,1,36,4,1,58,8,4,46,7,2,21,5,0,27,3,0,0
2021-07-03,146,21,6,191,26,5,18,3,1,26,3,1,41,5,2,53,8,1,29,5,1,38,4,1,33,5,2,46,7,2,25,4,0,28,3,0,0
2021-07-04,123,21,4,193,25,5,14,1,1,26,3,1,31,9,2,53,8,2,25,3,0,39,4,1,34,7,1,48,7,2,19,2,0,27,3,0,0
2021-07-05,187,15,1,190,24,4,20,3,0,25,3,1,62,5,0,55,8,1,32,3,0,37,4,0,53,4,1,48,6,2,20,1,0,26,3,0,0
2021-07-06,360,23,3,211,24,4,47,3,2,27,3,1,125,7,1,65,8,1,77,3,0,42,4,0,79,5,0,52,6,2,32,5,0,25,4,0,0
2021-07-07,400,23,2,236,24,4,49,2,2,30,3,1,146,9,0,75,8,1,73,3,0,47,4,0,88,7,0,57,6,1,44,2,0,28,4,0,0
2021-07-08,367,24,2,259,23,4,50,5,1,33,3,1,110,8,0,82,8,1,80,3,1,54,4,0,81,5,0,61,6,1,46,3,0,30,3,0,0
2021-07-09,370,36,2,279,23,3,56,5,0,36,3,1,110,7,1,89,7,1,84,8,0,57,4,0,88,14,0,65,7,1,32,2,1,31,3,0,0
2021-07-10,238,18,2,292,23,2,37,2,0,39,3,1,63,4,1,92,7,1,49,3,0,60,4,0,59,9,1,69,7,0,30,0,0,32,2,0,0
2021-07-11,267,27,4,313,24,2,32,8,1,42,4,1,79,5,2,99,6,1,53,2,0,64,4,0,78,11,0,75,8,0,25,1,1,33,2,0,0
2021-07-12,475,24,4,354,25,3,69,7,1,49,5,1,176,9,0,116,7,1,86,2,0,72,3,0,109,6,3,83,8,1,35,0,0,35,2,0,0
2021-07-13,459,25,3,368,25,3,43,6,2,48,5,1,152,7,1,119,7,1,103,2,0,75,3,0,97,8,0,86,9,1,64,3,0,39,2,0,0
2021-07-14,547,47,2,389,29,3,59,11,0,49,6,1,184,13,2,125,8,1,144,7,0,86,4,0,114,15,0,89,10,1,46,2,0,40,2,0,0
2021-07-15,553,27,5,416,29,3,70,2,0,52,6,1,172,9,1,134,8,1,128,5,0,92,4,0,129,9,3,96,10,1,54,2,1,41,1,0,0
2021-07-16,555,36,5,442,29,4,73,7,0,55,6,1,183,17,0,144,9,1,121,2,2,98,3,0,117,10,2,100,10,1,61,1,1,45,1,0,0
2021-07-17,341,36,6,457,32,4,59,11,2,58,7,1,110,8,0,151,10,1,60,5,1,99,4,0,77,8,3,103,10,2,35,6,0,46,2,0,0
2021-07-18,393,37,2,475,33,4,36,6,0,58,7,1,141,19,1,160,12,1,83,3,0,104,4,0,104,6,1,107,9,2,29,4,0,46,3,0,0
2021-07-19,811,50,5,523,37,4,110,9,1,64,7,1,276,17,3,174,13,1,176,6,0,116,4,0,171,16,1,116,10,1,78,3,0,52,3,0,0
2021-07-20,707,52,4,558,41,4,94,7,1,72,8,1,230,21,2,185,15,1,162,6,0,125,5,0,147,15,1,123,11,2,74,4,0,54,3,0,0
2021-07-21,893,42,2,608,40,4,128,10,0,81,7,1,306,9,0,203,14,1,198,5,1,133,5,1,198,15,0,135,11,2,63,5,1,56,4,0,0
2021-07-22,969,51,3,667,43,4,136,15,0,91,9,1,324,17,0,224,15,1,226,6,1,147,5,1,195,10,1,144,11,1,88,4,1,61,4,0,0
2021-07-23,916,48,3,719,45,4,126,9,0,98,10,1,319,16,0,244,15,1,200,5,2,158,5,1,215,15,1,158,12,1,55,5,0,60,4,0,0
2021-07-24,552,42,2,749,46,3,58,5,0,98,9,0,188,14,2,255,16,1,111,7,0,165,5,1,141,11,0,167,13,1,54,5,0,63,4,0,0
2021-07-25,634,41,4,783,47,3,68,8,0,103,9,0,212,10,0,265,15,1,118,7,1,170,6,1,169,12,1,177,13,1,67,4,2,68,4,1,0
2021-07-26,1225,58,1,842,48,3,155,8,0,109,9,0,422,21,0,286,15,1,261,8,0,182,6,1,273,18,0,191,14,1,114,4,1,74,4,1,0
2021-07-27,1198,71,5,912,50,3,141,16,1,116,10,0,406,23,1,311,16,0,253,6,1,195,6,1,295,19,1,212,14,1,103,7,1,78,5,1,0
2021-07-28,1242,74,6,962,55,3,188,13,2,125,11,0,384,13,1,322,16,1,276,14,2,206,8,1,286,32,1,225,17,1,108,3,0,84,5,1,0
2021-07-29,1289,74,8,1008,58,4,174,11,0,130,10,0,445,20,1,339,17,1,233,13,2,207,9,1,318,18,5,242,18,1,119,13,0,89,6,1,0
2021-07-30,1277,79,10,1060,63,5,159,18,1,135,11,1,428,19,4,355,17,1,249,11,3,214,9,1,318,28,2,257,20,1,123,3,0,98,6,1,0
2021-07-31,850,67,4,1102,66,5,126,8,0,144,12,1,263,27,3,366,19,1,152,6,1,220,9,1,214,20,0,268,21,1,95,7,0,104,6,1,0
2021-08-01,830,46,11,1130,67,6,92,10,0,148,12,1,294,15,2,377,20,2,151,5,2,225,9,2,220,15,5,275,21,2,73,3,2,105,6,1,0
2021-08-02,1567,72,4,1179,69,7,237,9,0,160,12,1,517,23,2,391,20,2,303,9,1,231,9,2,388,26,1,291,23,2,122,6,0,106,6,0,0
2021-08-03,1582,96,3,1234,73,7,231,17,2,172,12,1,489,26,0,403,20,2,345,10,1,244,10,2,365,31,0,301,24,2,152,13,0,113,7,0,0
2021-08-04,1607,85,8,1286,74,7,214,11,1,176,12,1,519,36,5,422,24,2,329,9,0,252,9,1,380,18,1,315,22,2,165,13,1,121,8,0,0
2021-08-05,1526,90,6,1320,76,7,208,20,1,181,13,1,517,24,2,432,24,3,322,18,0,264,10,1,365,25,2,321,23,2,114,4,1,121,7,1,0
2021-08-06,1575,113,11,1362,81,7,210,20,0,188,14,1,520,39,4,446,27,3,285,16,4,270,10,1,419,28,2,336,23,2,141,11,1,123,8,1,0
2021-08-07,1150,84,14,1405,84,8,179,18,2,196,15,1,373,25,5,461,27,3,179,12,2,273,11,1,294,21,3,347,23,2,125,8,2,127,8,1,0
2021-08-08,1071,97,6,1440,91,7,155,19,1,205,16,1,321,25,2,465,28,3,162,14,0,275,13,1,301,29,1,359,25,1,131,10,2,136,9,1,0
2021-08-09,1889,128,9,1486,99,8,289,29,0,212,19,1,625,43,3,481,31,3,308,16,3,276,14,1,494,41,3,374,28,2,172,0,0,143,8,1,0
2021-08-10,1665,117,6,1498,102,9,265,36,0,217,22,1,535,32,4,487,32,4,306,16,1,270,14,1,407,29,0,380,27,2,152,6,1,143,7,1,0
2021-08-11,1753,136,9,1518,109,9,262,29,2,224,24,1,546,39,1,491,32,3,354,11,3,274,15,2,439,38,3,388,30,2,151,19,0,141,8,1,0
2021-08-12,1758,115,6,1552,113,9,232,22,2,227,25,1,578,29,1,500,33,3,324,19,3,274,15,2,451,32,0,401,31,2,172,15,0,149,10,1,0
2021-08-13,1600,136,9,1555,116,8,266,30,2,235,26,1,499,45,3,497,34,3,294,15,1,275,15,2,394,40,3,397,33,2,145,7,0,150,9,1,0
2021-08-14,1048,92,10,1541,117,8,145,18,1,231,26,1,348,29,4,493,35,3,206,11,1,279,15,2,253,20,3,391,33,2,96,16,1,146,10,1,0
2021-08-15,1143,106,6,1551,119,8,140,15,1,228,26,1,420,38,2,507,36,3,198,21,1,284,16,2,304,25,1,392,32,2,81,8,1,138,10,0,0
2021-08-16,1926,122,6,1556,118,7,328,27,1,234,25,1,625,36,2,507,35,2,351,15,1,290,15,2,479,42,0,390,32,1,143,7,2,134,11,1,0
2021-08-17,1744,129,15,1567,119,9,296,32,7,238,25,2,595,36,3,516,36,2,301,16,1,290,15,2,418,34,3,391,33,2,133,13,1,132,12,1,0
2021-08-18,1813,112,13,1576,116,9,273,24,1,240,24,2,555,35,4,517,35,3,362,16,0,291,16,1,460,26,5,394,31,2,162,12,3,133,11,1,0
2021-08-19,1691,91,14,1566,113,10,265,20,2,245,24,2,543,24,7,512,35,4,325,11,1,291,15,1,419,25,2,390,30,2,136,10,2,128,10,1,0
2021-08-20,1562,114,6,1561,109,10,285,36,0,247,25,2,505,27,3,513,32,4,296,16,0,291,15,1,349,25,3,383,28,2,125,11,0,125,11,1,0
2021-08-21,1091,113,16,1567,112,11,180,26,1,252,26,2,338,30,7,512,32,4,183,20,1,288,16,1,272,33,7,386,30,3,118,4,0,128,9,1,0
2021-08-22,720,104,10,1507,112,11,104,23,3,247,27,2,276,31,5,491,31,4,99,16,0,274,16,1,157,28,0,365,30,3,84,7,2,129,9,1,0
2021-08-23,1952,113,12,1510,111,12,289,34,1,242,28,2,643,26,5,494,30,5,367,18,0,276,16,0,492,29,5,367,29,4,161,7,1,131,9,1,0
2021-08-24,1832,101,11,1523,107,12,298,18,3,242,26,2,612,34,3,496,30,5,349,13,1,283,16,0,405,32,2,365,28,3,168,5,2,136,8,1,0
2021-08-25,1784,107,8,1519,106,11,286,27,3,244,26,2,570,31,4,498,29,5,372,17,1,284,16,1,385,31,0,354,29,3,170,4,0,137,7,1,0
2021-08-26,1643,103,13,1512,108,11,252,25,2,242,27,2,526,34,4,496,30,4,326,10,2,285,16,1,388,31,2,350,30,3,150,8,3,139,7,1,0
2021-08-27,1449,102,10,1496,106,11,242,25,0,236,25,2,461,32,4,489,31,5,266,13,2,280,15,1,347,25,4,349,30,3,133,9,0,141,6,1,0
2021-08-28,984,79,14,1481,101,11,172,13,1,235,24,2,296,21,7,483,30,5,152,14,1,276,14,1,252,30,4,347,29,2,112,3,1,140,6,1,0
2021-08-29,987,87,13,1519,99,12,138,25,2,240,24,2,341,24,7,493,29,5,160,11,0,285,14,1,257,22,3,361,29,3,91,8,1,141,6,1,0
2021-08-30,1835,120,13,1502,100,12,304,33,1,242,24,2,582,37,4,484,30,5,374,13,1,286,13,1,392,31,6,347,29,3,182,8,1,144,6,1,0
2021-08-31,1620,118,10,1472,102,12,259,31,1,236,26,1,529,29,3,472,30,5,304,25,2,279,15,1,326,24,2,335,28,3,202,12,2,149,7,1,0
2021-09-01,1558,121,13,1439,104,12,224,30,3,227,26,1,487,29,2,460,29,4,347,19,2,276,15,1,360,37,6,332,29,4,140,9,0,144,8,1,0
2021-09-02,1429,91,11,1409,103,12,211,32,2,221,27,1,477,20,3,453,27,4,264,6,3,267,14,2,303,24,3,320,28,4,174,11,0,148,9,1,0
2021-09-03,1421,74,8,1405,99,12,216,17,3,218,26,2,429,24,3,449,26,4,248,9,1,264,14,1,330,22,0,317,27,3,197,4,1,157,8,1,0
2021-09-04,905,100,12,1394,102,11,126,22,3,211,27,2,255,31,4,443,28,4,154,11,1,264,13,1,260,32,3,318,27,3,110,6,1,157,8,1,0
2021-09-05,950,71,13,1388,99,11,137,16,3,211,26,2,333,22,3,442,27,3,156,8,3,264,13,2,214,18,3,312,27,3,110,7,1,159,8,1,0
2021-09-06,947,72,17,1261,92,12,164,18,5,191,24,3,275,19,6,398,25,3,181,11,0,236,13,2,229,22,5,289,26,3,98,6,1,147,8,1,0
2021-09-07,1566,106,7,1254,91,12,285,19,4,195,22,3,432,27,2,384,25,3,306,26,0,237,13,1,370,27,1,295,26,3,171,7,0,143,7,1,0
2021-09-08,1589,97,20,1258,87,13,234,22,1,196,21,3,464,29,8,381,25,4,370,20,3,240,13,2,389,25,6,299,24,3,132,3,2,142,6,1,0
2021-09-09,1711,93,18,1298,88,14,241,38,3,200,22,3,630,21,3,403,25,4,311,10,3,247,14,2,400,19,8,313,24,4,129,8,1,135,6,1,0
2021-09-10,1541,93,15,1316,90,15,232,26,2,203,23,3,502,27,6,413,25,5,298,9,1,254,14,2,377,26,6,320,24,5,132,6,0,126,6,1,0
2021-09-11,1036,81,15,1334,88,15,139,14,1,205,22,3,335,26,8,424,24,5,169,11,0,256,14,1,288,22,5,324,23,5,104,8,1,125,6,1,0
2021-09-12,1212,89,12,1372,90,15,127,15,3,203,22,3,504,29,2,449,25,5,221,14,3,265,14,1,258,26,3,330,24,5,102,7,1,124,6,1,0
2021-09-13,1737,98,12,1485,94,14,223,15,3,212,21,2,633,30,4,500,27,5,370,23,1,292,16,2,389,21,2,353,24,4,122,9,2,127,7,1,0
2021-09-14,1641,82,9,1495,90,14,201,12,1,200,20,2,609,31,6,525,28,5,310,19,1,293,15,2,373,17,1,353,22,4,147,6,0,124,7,1,0
2021-09-15,1607,92,10,1498,90,13,231,13,0,199,19,2,548,34,5,537,28,5,320,7,0,286,13,1,353,29,4,348,23,4,152,10,1,127,8,1,0
2021-09-16,1385,82,11,1451,88,12,191,21,2,192,17,2,452,19,2,512,28,5,284,11,2,282,13,1,321,27,4,337,24,4,135,7,1,128,8,1,0
2021-09-17,1524,83,11,1449,87,11,173,13,2,184,15,2,560,23,6,520,27,5,321,19,1,285,15,1,366,26,1,335,24,3,104,4,1,124,7,1,0
2021-09-18,950,84,10,1437,87,11,105,17,2,179,15,2,357,29,1,523,28,4,135,17,1,280,16,1,263,22,6,332,24,3,89,3,0,122,7,1,0
2021-09-19,1060,70,16,1415,84,11,140,8,2,181,14,2,465,24,9,518,27,5,162,13,1,272,16,1,214,15,4,326,22,3,79,10,0,118,7,1,0
2021-09-20,1640,96,16,1401,84,12,244,26,2,184,16,2,546,25,7,505,26,5,294,20,2,261,15,1,404,18,4,328,22,3,151,8,1,122,7,1,0
2021-09-21,1300,84,13,1352,84,12,201,17,1,184,16,2,397,24,4,475,25,5,283,14,2,257,14,1,323,24,6,321,23,4,95,5,0,115,7,1,0
2021-09-22,1424,94,13,1326,85,13,205,19,2,180,17,2,511,32,6,470,25,5,284,13,0,252,15,1,309,25,5,314,22,4,112,5,0,109,6,0,0
2021-09-23,1291,95,11,1313,87,13,138,16,2,172,17,2,513,39,2,478,28,5,223,11,1,243,15,1,327,20,5,315,21,4,89,9,1,103,6,0,0
2021-09-24,1225,80,9,1270,86,13,155,10,4,170,16,2,452,33,2,463,29,4,239,13,0,231,14,1,295,24,2,305,21,5,82,2,1,100,6,0,0
2021-09-25,814,65,15,1251,83,13,99,15,3,169,16,2,310,23,5,456,29,5,131,3,1,231,12,1,191,21,5,295,21,4,82,4,1,99,6,1,0
2021-09-26,855,53,15,1221,81,13,97,10,3,163,16,2,333,19,5,437,28,4,139,6,0,228,11,1,200,14,3,293,21,4,86,4,4,100,5,1,0
2021-09-27,1389,71,17,1185,77,13,184,17,5,154,15,3,517,27,4,433,28,4,252,5,3,222,9,1,324,20,5,281,21,4,111,4,0,94,5,1,0
2021-09-28,1117,64,13,1159,75,13,156,11,2,148,14,3,355,19,5,427,27,4,212,10,2,211,9,1,296,21,4,277,21,4,97,6,0,94,5,1,0
2021-09-29,1096,62,13,1112,70,13,151,16,1,140,14,3,367,22,3,407,26,4,212,8,1,201,8,1,268,13,6,272,19,4,97,4,2,92,5,1,0
2021-09-30,1132,60,8,1090,65,13,148,13,0,141,13,3,453,18,3,398,23,4,199,7,0,198,7,1,239,17,4,259,19,4,92,6,1,92,4,1,0
2021-10-01,1082,82,7,1069,65,13,133,17,1,138,14,2,408,29,2,392,22,4,212,9,1,194,7,1,253,31,3,253,20,4,76,2,0,92,4,1,0
2021-10-02,677,58,12,1050,64,12,74,17,2,135,14,2,280,13,4,388,21,4,120,6,0,192,7,1,155,21,6,248,20,4,48,4,0,87,4,1,0
2021-10-03,898,62,13,1056,66,12,63,11,3,130,15,2,455,27,5,405,22,4,93,10,3,186,8,1,217,16,2,250,20,4,69,2,0,84,4,0,0
2021-10-04,1271,74,12,1039,66,11,162,16,5,127,14,2,513,25,3,404,22,4,219,10,1,181,9,1,290,20,2,245,20,4,87,3,1,81,4,1,0
2021-10-05,1266,68,6,1060,67,10,168,10,1,128,14,2,503,26,1,426,23,3,225,14,0,183,9,1,264,14,3,241,19,4,106,4,1,82,4,1,0
2021-10-06,1138,61,15,1066,66,10,137,13,4,126,14,2,483,11,6,442,21,3,218,11,2,184,10,1,226,23,1,235,20,3,74,7,2,79,4,1,0
2021-10-07,1071,62,13,1058,67,11,121,15,3,123,14,3,404,11,2,435,20,3,180,9,3,181,10,1,268,20,4,239,21,3,98,7,1,80,4,1,0
2021-10-08,1010,41,17,1047,61,13,125,8,0,121,13,3,448,11,7,441,18,4,169,11,2,175,10,2,190,10,6,230,18,3,78,3,2,80,4,1,0
2021-10-09,608,69,8,1037,62,12,66,14,0,120,12,2,248,25,3,436,19,4,94,10,1,171,11,2,145,16,4,229,17,3,55,4,0,81,4,1,0
2021-10-10,683,47,16,1007,60,12,60,11,1,120,12,2,306,16,5,415,18,4,94,7,3,171,10,2,151,7,3,219,16,3,71,7,4,81,5,2,0
2021-10-11,927,51,9,958,57,12,107,9,1,112,11,1,359,12,1,393,16,4,173,10,0,165,10,2,222,15,6,209,15,4,66,5,1,78,5,2,0
2021-10-12,1138,46,3,939,54,12,124,7,0,106,11,1,460,12,1,387,14,4,203,9,0,162,10,2,238,18,1,206,16,4,113,4,1,79,5,2,0
2021-10-13,1104,67,9,934,55,11,119,14,1,103,11,1,407,22,2,376,16,3,228,14,0,163,10,1,236,13,5,207,14,4,114,8,1,85,5,1,0
2021-10-14,1021,47,8,927,53,10,108,11,0,101,11,0,425,10,2,379,15,3,174,8,1,162,10,1,203,17,4,198,14,4,111,2,1,87,5,1,0
2021-10-15,880,54,7,909,54,9,111,11,2,99,11,1,320,11,2,361,15,2,161,13,0,161,10,1,207,16,3,200,15,4,81,3,0,87,5,1,0
2021-10-16,484,51,6,891,52,8,53,10,0,97,10,1,192,16,4,353,14,2,55,5,0,155,9,1,137,15,1,199,14,3,47,6,1,86,5,1,0
